AGRO	7,600	2,703	400	7.550	7.600	1.530	7,400	7,650	7,490	83.020	14	11:31
ALUA	10,900	1,395	284	10.800	10.900	13.635	10,750	11,000	10,700	126.844	15	11:24
APBR	44,500	4,706	605	44.400	44.500	5.996	42,500	44,950	44,200	5.572.517	164	11:32
APBRA	 	 	1.000	32.000	38.000	2.968	 	 	 	 	 	00:00
AUSO	25,800	1,176	784	25.500	25.800	1.307	25,500	25,800	25,000	211.770	13	11:30
BHIP	 	 	5.000	6.550	6.700	500	 	 	 	 	 	00:00
BMA	94,000	-0,318	289	94.100	94.300	405	94,300	95,000	94,000	296.656	17	11:30
BOLT	5,200	0,971	4.804	5.200	5.270	540	5,150	5,200	5,200	19.635	3	11:24
BPAT	 	 	2.280	30.700	31.850	846	 	 	 	 	 	00:00
BRIO	 	 	534	46.000	46.950	54	 	 	 	 	 	00:00
BRIO6	 	 	 	0.000	0.000	 	 	 	 	 	 	00:00
CADO	 	 	1.000	7.800	8.250	1.400	 	 	 	 	 	00:00
CAPU	 	 	1.000	18.000	19.000	2.810	 	 	 	 	 	00:00
CAPX	 	 	250	11.500	14.000	112	 	 	 	 	 	00:00
CARC	2,000	0,000	5.000	1.950	2.000	13.534	2,000	2,000	2,000	18.000	4	11:26
CECO2	 	 	2.500	4.350	4.480	6.629	 	 	 	 	 	00:00
CELU	11,500	0,437	1.800	11.400	11.500	1.000	11,450	11,500	11,500	40.250	3	11:05
CEPU	 	 	400	95.000	104.950	50	 	 	 	 	 	00:00
CGPA2	 	 	 	0.000	8.500	389	 	 	 	 	 	00:00
COLO	 	 	48	20.800	21.900	29	 	 	 	 	 	00:00
COME	3,060	2,000	25.500	3.050	3.060	12.500	3,000	3,060	3,010	525.583	36	11:31
CRES	17,500	2,339	500	16.550	17.500	947	17,100	17,500	17,500	16.712	3	11:12
CTIO	42,200	0,476	599	42.200	42.500	6.500	42,000	43,500	42,200	1.053.977	50	11:29
DGCU2	 	 	5.000	8.200	8.290	450	 	 	 	 	 	00:00
DYCA	19,000	0,000	1.303	19.000	19.500	306	19,000	19,000	19,000	19.000	2	11:24
EDN	11,700	0,000	5.000	11.550	11.600	3.422	11,700	11,750	11,700	259.472	7	11:19
